date,equity,open_positions
2015-10-06,5658689.302912606,62
2015-10-07,5656269.474593056,62
2015-10-08,5649915.137087273,61
2015-10-09,5647745.852838074,62
2015-10-12,5645535.839174047,64
2015-10-13,5646131.8841768475,65
2015-10-14,5645543.80956728,67
2015-10-15,5647182.04490871,67
2015-10-16,5647944.26346799,67
2015-10-19,5656368.616823896,72
2015-10-20,5659386.852004378,74
2015-10-21,5661727.802550508,74
2015-10-23,5660849.108956679,76
2015-10-26,5655469.653924282,76
2015-10-27,5658253.168264682,76
2015-10-28,5660390.8876914065,71
2015-10-29,5654627.180461128,71
2015-10-30,5650766.469759243,69
2015-11-02,5652867.678209767,67
2015-11-03,5657912.393932684,71
2015-11-04,5653341.334755417,72
2015-11-05,5641045.54913053,68
2015-11-06,5635275.064032866,63
2015-11-09,5641267.7964429725,63
2015-11-10,5634372.55233036,65
2015-11-13,5638283.664198503,62
2015-11-16,5647880.520016292,64
2015-11-17,5654404.651573164,64
2015-11-18,5646256.737320425,64
2015-11-19,5643805.674057837,69
2015-11-20,5650755.017983781,75
2015-11-23,5656271.683118038,77
2015-11-24,5656003.908304154,80
2015-11-26,5660973.95362897,84
2015-11-27,5659390.550135953,91
2015-11-30,5661716.299723894,95
2015-12-01,5670178.229971024,100
2015-12-02,5673748.57322197,100
2015-12-03,5669194.055105029,100
2015-12-04,5655820.8036325555,100
2015-12-07,5656540.768202601,100
2015-12-08,5636898.667577775,98
2015-12-09,5613745.0708953,89
2015-12-10,5630242.338099459,90
2015-12-11,5622576.377291855,85
2015-12-14,5632533.376637963,86
2015-12-15,5637956.1958069485,90
2015-12-16,5638666.970500842,89
2015-12-17,5655294.130377719,91
2015-12-18,5651750.250723258,93
2015-12-21,5657622.788032524,96
2015-12-22,5654192.1851474065,98
2015-12-23,5657136.990317008,100
2015-12-24,5659132.588185928,100
2015-12-28,5661166.262959144,100
2015-12-29,5662470.534391067,100
2015-12-30,5666261.179305767,100
2015-12-31,5675655.307782863,100
2016-01-01,5686162.526610111,100
2016-01-04,5670056.534049663,99
2016-01-05,5682572.069201059,100
2016-01-06,5679279.674460404,98
2016-01-07,5646196.793427585,89
2016-01-08,5666488.870566652,88
2016-01-11,5664967.4960098965,88
2016-01-12,5653645.997518643,85
2016-01-13,5632393.216348952,72
2016-01-14,5624522.461908856,70
2016-01-15,5600727.878863495,54
2016-01-18,5577137.340003335,29
2016-01-19,5581954.006023728,29
2016-01-20,5575546.8235676065,26
2016-01-21,5576635.35643243,23
2016-01-22,5581407.397604458,23
2016-01-25,5582037.927386258,23
2016-01-27,5583537.094353775,24
2016-01-28,5582692.593285659,24
2016-01-29,5584860.932894695,27
2016-02-01,5586651.156807414,30
2016-02-02,5582262.639156926,29
2016-02-03,5578973.911021159,26
2016-02-04,5578228.448701957,25
2016-02-05,5580339.104713923,29
2016-02-08,5579267.253639415,30
2016-02-09,5575289.136485323,32
2016-02-10,5572282.559510455,32
2016-02-11,5561705.140196009,28
2016-02-12,5561174.801021579,26
2016-02-15,5566166.919888827,27
2016-02-16,5561546.266419741,27
2016-02-17,5562011.450925415,26
2016-02-18,5563985.697574204,26
2016-02-19,5564097.306893891,26
2016-02-22,5564555.024435585,27
2016-02-23,5562286.460011071,27
2016-02-24,5560988.029255455,27
2016-02-25,5558933.3492714735,22
2016-02-26,5558543.076015172,22
2016-02-29,5558628.427119908,22
2016-03-01,5562457.036214528,22
2016-03-02,5564927.907053019,23
2016-03-03,5565803.025395204,26
2016-03-04,5565851.803961654,31
2016-03-08,5567405.59412264,33
2016-03-09,5568306.438994985,35
2016-03-10,5568367.9852596335,35
2016-03-11,5568453.217839,36
2016-03-14,5571271.059432742,36
2016-03-15,5567951.577939679,35
2016-03-16,5566604.571849171,36
2016-03-17,5566215.716102776,36
2016-03-18,5570244.723291277,36
2016-03-21,5573857.889634553,44
2016-03-22,5574292.891565899,47
2016-03-23,5575805.690836417,50
2016-03-28,5568992.830906378,50
2016-03-29,5568660.838596472,51
2016-03-30,5578285.242210463,60
2016-03-31,5582600.760005659,67
2016-04-01,5582132.293689482,70
2016-04-04,5583678.963684732,73
2016-04-05,5571438.514578507,75
2016-04-06,5578062.382930747,80
2016-04-07,5573895.895614616,80
2016-04-08,5580609.258942794,84
2016-04-11,5589559.917822744,89
2016-04-12,5595969.005724776,99
2016-04-13,5609139.16194998,99
