date,equity,open_positions,entry_blocked
2006-01-20,1373033.190655259,91,0
2006-01-23,1375369.6958529947,91,0
2006-01-24,1387648.710778117,91,0
2006-01-25,1400840.964954972,91,0
2006-01-27,1418492.70204971,91,0
2006-01-30,1400972.8943671929,91,0
2006-01-31,1406339.7450403501,91,0
2006-02-01,1401729.585292999,90,0
2006-02-02,1409404.2868169919,89,0
2006-02-03,1408082.5218280721,87,0
2006-02-06,1428545.8536821809,89,0
2006-02-07,1429443.032390166,90,0
2006-02-08,1425871.3582050093,90,0
2006-02-10,1439232.4899037369,90,0
2006-02-13,1452111.1179126985,90,0
2006-02-14,1444613.0726944692,90,0
2006-02-15,1445421.1679588992,90,0
2006-02-16,1446780.894827767,90,0
2006-02-17,1427624.8762768942,90,0
2006-02-20,1424497.9347310797,86,0
2006-02-21,1436793.221901326,85,0
2006-02-22,1440394.554610084,87,0
2006-02-23,1439405.9884920274,87,0
2006-02-24,1439857.9735107166,88,0
2006-02-27,1441932.152954076,88,0
2006-02-28,1446785.0102745984,90,0
2006-03-01,1482924.2130915406,90,0
2006-03-02,1495194.082093406,90,0
2006-03-03,1506904.922108579,90,0
2006-03-06,1534108.8720969441,90,0
2006-03-07,1554322.599611688,90,0
2006-03-08,1527591.5193027072,90,0
2006-03-09,1536476.9331718497,90,0
2006-03-10,1566267.3402126841,90,0
2006-03-13,1568631.3465078883,90,0
2006-03-14,1557598.4574160543,90,0
2006-03-16,1564308.3820932738,90,0
2006-03-17,1563577.165956005,90,0
2006-03-20,1573137.8907897319,90,0
2006-03-21,1575913.2878068283,89,0
2006-03-22,1563367.2699951346,89,0
2006-03-23,1567545.7606236155,89,0
2006-03-24,1583704.4936651404,89,0
2006-03-27,1602581.6917804487,89,0
2006-03-28,1592010.2915211923,89,0
2006-03-29,1597268.8108839747,89,0
2006-03-30,1612632.1416392084,89,0
2006-03-31,1707633.9387826691,89,0
2006-04-03,1755326.9422774087,89,0
2006-04-04,1778398.575063921,89,0
2006-04-05,1808239.619120575,89,0
2006-04-07,1781860.1734306584,89,0
2006-04-10,1791281.261352993,89,0
2006-04-12,1761323.8957468593,89,0
2006-04-13,2284840.2070884663,85,0
2006-04-17,2286002.826072212,85,0
2006-04-18,2293703.1797551517,87,0
2006-04-19,2294209.4693004494,87,0
2006-04-20,2321180.3229205017,87,0
2006-04-21,2319832.9534299104,87,0
2006-04-24,2319661.2975627393,86,0
2006-04-25,2273847.744996667,86,0
2006-04-26,2307200.8374445187,85,0
2006-04-27,2319859.42019242,85,0
2006-04-28,2308006.999067388,84,0
2006-05-02,2394192.210344396,84,0
2006-05-03,2378388.7127910475,84,0
2006-05-04,2368233.947833381,84,0
2006-05-05,2376557.0015779356,84,0
2006-05-08,2410713.8129573683,84,0
2006-05-09,2449907.888475738,84,0
2006-05-10,2452702.952152572,84,0
2006-05-11,2420819.6720488886,84,0
2006-05-12,2390843.9931660513,84,0
2006-05-15,2303987.1824049414,81,0
2006-05-16,2271086.6489373567,80,0
2006-05-17,2353489.1070254147,83,0
2006-05-18,2196796.0828329977,74,0
2006-05-19,2098128.7928281957,56,0
2006-05-22,1999567.139344328,0,0
2006-05-23,1999567.139344328,0,0
2006-05-24,1999567.139344328,0,0
2006-05-25,1999567.139344328,0,0
2006-05-26,1999567.139344328,0,0
2006-05-29,1999567.139344328,0,0
2006-05-30,1999567.139344328,0,0
2006-05-31,1999567.139344328,0,0
2006-06-01,1999567.139344328,0,0
2006-06-02,1999567.139344328,0,0
2006-06-05,1999567.139344328,0,0
2006-06-06,1999567.139344328,0,0
2006-06-07,1999567.139344328,0,0
2006-06-08,1999567.139344328,0,0
2006-06-09,1999567.139344328,0,0
2006-06-12,1999567.139344328,0,0
2006-06-13,1999567.139344328,0,0
2006-06-14,1999567.139344328,0,0
2006-06-15,1999567.139344328,0,0
2006-06-16,1999567.139344328,0,0
2006-06-19,1999567.139344328,0,0
2006-06-20,1999567.139344328,0,0
2006-06-21,1999567.139344328,0,0
2006-06-22,1999567.139344328,0,0
2006-06-23,1999567.139344328,0,0
2006-06-26,1999567.139344328,0,0
2006-06-27,1999567.139344328,0,0
2006-06-28,1999567.139344328,0,0
2006-06-29,1999567.139344328,0,0
2006-06-30,1999567.139344328,0,0
2006-07-03,1999567.139344328,0,0
2006-07-04,1999567.139344328,0,0
2006-07-05,1999567.139344328,0,0
2006-07-06,1999567.139344328,0,0
2006-07-07,1999567.139344328,0,0
2006-07-10,1999567.139344328,0,0
2006-07-11,1999567.139344328,0,0
2006-07-12,1998938.3496655896,1,0
2006-07-13,1998814.4073132947,1,0
2006-07-14,1998436.0516919568,1,0
2006-07-17,1997940.3062848523,1,0
2006-07-18,1998217.2378644422,1,0
2006-07-19,1997932.3277768567,1,0
2006-07-20,1998425.7918958142,1,0
2006-07-21,1997904.4079083875,1,0
2006-07-24,1998009.2642468885,1,0
2006-07-25,1998002.4192914441,1,0
2006-07-26,1998409.2675580457,1,0
2006-07-27,1998545.4596967176,2,0
2006-07-28,1998224.6501416638,2,0
2006-07-31,1998513.5456647351,2,0
2006-08-01,1998541.4731702283,2,0
2006-08-02,1998983.3002195766,4,0
2006-08-03,1999283.3320799281,4,0
2006-08-04,2000854.6217193392,5,0
2006-08-07,1999403.2887038167,7,0
2006-08-08,2001617.148385508,10,0
2006-08-09,2004917.7403184655,14,0
2006-08-10,2004184.6605008284,20,0
2006-08-11,2005677.8235600959,25,0
2006-08-14,2004353.9909820517,32,0
2006-08-16,2003477.5579293256,43,0
2006-08-17,1996276.9187286138,49,0
2006-08-18,1994233.0680570155,57,0
2006-08-21,1998249.8170414008,63,0
2006-08-22,1992674.5920681988,66,0
2006-08-23,1976676.5138102002,68,0
2006-08-24,1981422.6798826894,73,0
2006-08-25,1993561.6850504098,81,0
2006-08-28,2000530.8575544462,82,0
2006-08-29,2005723.1650429189,90,0
2006-08-30,1995926.4083987668,95,0
2006-08-31,1976377.5369454352,98,0
2006-09-01,1993142.0199371236,99,0
2006-09-04,2024323.3941918057,100,0
2006-09-05,2030977.4181042355,100,0
2006-09-06,2034099.436073367,100,0
2006-09-07,2033578.8711853665,100,0
2006-09-08,2056900.2426973027,100,0
2006-09-11,1985394.6663811426,99,0
2006-09-12,2006489.9189342791,99,0
2006-09-13,2049627.1510443026,99,0
2006-09-14,2061144.9757227236,99,0
2006-09-15,2065370.92417615,99,0
2006-09-18,2081282.3369931513,99,0
2006-09-19,2049126.3688301696,99,0
2006-09-20,2064996.6663279189,99,0
2006-09-21,2081392.5738381995,99,0
2006-09-22,2299919.7200202597,99,0
2006-09-25,2289990.067377533,99,0
2006-09-26,2297479.2286348,99,0
2006-09-27,2310021.572866111,99,0
2006-09-28,2316489.9871784737,99,0
