symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
PERSISTENT,2014-02-25,2014-04-30,247.3951825806212,220.34310627702033,40,-1082.0830521440348,-10.934762763533252,trail_stop
ABREL,2014-03-05,2014-04-30,310.4788019573616,313.36912086707605,32,92.49020511086201,0.9309231069860184,trail_stop
ASAHIINDIA,2014-03-05,2014-04-30,53.21835832403051,52.54349136352539,187,-126.20012161445811,-1.2681093174578262,trail_stop
CUMMINSIND,2014-02-28,2014-05-02,403.1750376249095,420.01106009480975,24,404.06453927760595,4.17585934116375,trail_stop
INDHOTEL,2014-02-21,2014-05-05,60.02505149341819,61.036466915427376,166,167.8949600535234,1.6849888452325272,trail_stop
ACC,2014-03-05,2014-05-05,990.7532333685249,1118.1185214871352,10,1273.6528811861026,12.855399692774446,trail_stop
TATAELXSI,2013-11-25,2014-05-07,106.09648281432396,229.51920037672014,94,11601.735450865242,116.33064008200378,trail_stop
ULTRACEMCO,2014-03-06,2014-05-07,1806.964601398989,1869.7998998185637,5,314.17649209787305,3.4773950951184225,trail_stop
AMBUJACEM,2014-03-20,2014-05-07,160.5903362410268,164.53301044881601,62,244.44580088293333,2.4551129912772383,trail_stop
EMAMILTD,2014-04-30,2014-05-08,199.45969176820577,184.49344300142226,50,-748.3124383391751,-7.503395114124581,trail_stop
HEG,2013-10-14,2014-05-12,27.09243161536611,35.05133525280751,369,2936.8354422158773,29.376852363917465,trail_stop
ZYDUSLIFE,2013-11-25,2014-05-15,135.81065399718142,169.56060115787122,73,2463.746142730355,24.85073605594318,trail_stop
BAJFINANCE,2014-03-07,2014-05-15,15.507942667678186,16.94334132292862,644,924.3967339812789,9.255893486388143,trail_stop
GLENMARK,2014-01-29,2014-05-16,538.5512777800135,522.2605311670761,18,-293.2334390328724,-3.0249202415952254,trail_stop
COLPAL,2013-12-19,2014-05-19,515.2178276356291,529.7554079478359,19,276.2140259319294,2.821637670986812,trail_stop
GODFRYPHLP,2014-02-10,2014-05-19,173.5889828009403,175.04484646846885,57,82.98422904912695,0.8386843704234535,trail_stop
LUPIN,2014-02-25,2014-05-19,900.7574350154716,858.7132856102035,11,-462.4856434579506,-4.667643892891771,trail_stop
ITC,2014-03-18,2014-05-19,146.84751682289047,143.49102902891153,68,-228.24116999056787,-2.285695983560365,trail_stop
POLYMED,2014-02-06,2014-05-20,84.19344408870862,106.59031454471068,118,2642.8307138082437,26.601679855742784,trail_stop
WOCKPHARMA,2014-03-05,2014-05-29,415.44924259546553,525.6650589264474,24,2645.1795919435644,26.529309728048307,trail_stop
ABFRL,2014-04-17,2014-06-12,94.13504028320312,113.35633087158203,106,2037.456802368164,20.41884778564081,trail_stop
ACE,2014-04-02,2014-06-17,15.247283749499175,23.5596686431684,655,5444.6121053533425,54.51715223665501,trail_stop
KAJARIACER,2014-04-16,2014-06-19,174.97056200439624,229.4493758842998,57,3105.292391154502,31.135988394741926,trail_stop
ADANIENT,2014-03-10,2014-06-27,42.97676341181475,61.88033016055942,232,4385.627485708763,43.98555230324274,trail_stop
IIFL,2014-01-10,2014-07-07,26.976650006786517,54.35816716200917,370,10131.161347432379,101.5008058759493,trail_stop
DEEPAKNTR,2013-11-20,2014-07-08,25.69036102294922,76.06182459612485,389,19594.49932996532,196.07145079891546,trail_stop
VOLTAS,2014-02-25,2014-07-08,120.14125703660375,184.9038338393962,83,5375.293874631776,53.90535974087661,trail_stop
ONGC,2014-03-05,2014-07-08,109.00587285670817,148.49236138192921,91,3593.2704557951147,36.22418452364244,trail_stop
GMDCLTD,2014-03-18,2014-07-08,91.5665885393081,110.90963771116265,109,2108.3923597321464,21.124571178657472,trail_stop
COALINDIA,2014-04-11,2014-07-08,116.39604075411589,151.91692580598698,85,3019.2752294090424,30.517262289795738,trail_stop
ANANTRAJ,2014-04-15,2014-07-08,24.926900101491647,26.04417762429409,401,448.02828664378103,4.482216072810384,trail_stop
COROMANDEL,2014-05-13,2014-07-08,206.3320521662816,210.13575697766746,48,182.5778309465204,1.8434871225535343,trail_stop
EIDPARRY,2014-05-16,2014-07-08,156.45260294293024,174.3328789639004,63,1126.4573893211218,11.428557713093747,trail_stop
BBTC,2014-05-21,2014-07-08,112.06290457365442,134.49476631202248,89,1996.4356947147571,20.01720535775021,trail_stop
ELECON,2014-05-30,2014-07-08,31.435560903223212,26.931636420275805,318,-1432.2479855772763,-14.327482486516105,trail_stop
APOLLOTYRE,2013-09-23,2014-07-09,60.42954947031004,153.24425141497693,165,15314.425820870038,153.5915835187025,trail_stop
AIAENG,2013-10-07,2014-07-09,307.1038106245893,676.3595299584981,32,11816.183018685082,120.23807799158033,trail_stop
CGPOWER,2014-03-07,2014-07-09,47.46253035809373,62.886175945199355,210,3238.96557329218,32.49646715153576,trail_stop
CENTRALBK,2014-05-02,2014-07-09,52.65528800264369,67.71335257950439,189,2845.9742050266723,28.59744034845023,trail_stop
IOB,2014-05-02,2014-07-09,62.80425798580764,74.5,159,1859.622980256585,18.622530365433718,trail_stop
CANBK,2014-05-06,2014-07-09,48.28247297249694,65.50531741601847,207,3565.1287998089556,35.671007268687625,trail_stop
HINDPETRO,2014-02-12,2014-07-11,21.561343804864457,33.23572483529217,463,5405.2384170880305,54.1449602403439,trail_stop
EIHOTEL,2014-03-03,2014-07-11,59.49013841456659,77.7522290604455,168,3068.031228507658,30.69767718242073,trail_stop
LT,2014-03-03,2014-07-11,609.3045248536806,871.9774702732294,16,4202.767126712781,43.11028963433802,trail_stop
PFC,2014-03-03,2014-07-11,34.20527702988486,56.19364129810445,292,6420.6023663201195,64.28354387835695,trail_stop
ICICIBANK,2014-03-07,2014-07-11,185.16920711121628,229.49383294500683,54,2393.5297950246895,23.93736330423897,trail_stop
BEML,2014-03-14,2014-07-11,101.6177826626269,248.9422149658203,98,14437.794365712954,144.97898738089327,trail_stop
BANKBARODA,2014-03-28,2014-07-11,116.24498645952312,130.15805179547561,86,1196.5236188919134,11.968744424773154,trail_stop
GABRIEL,2014-04-17,2014-07-11,31.30470067711524,38.63693368025934,319,2338.9823280029686,23.422146976489717,trail_stop
BANKINDIA,2014-05-20,2014-07-11,250.09849666096542,216.97287836850722,39,-1291.8991134058706,-13.24502895247845,trail_stop
NAVINFLUOR,2014-01-15,2014-07-14,52.534496907998104,95.72238988671359,190,8205.69966595594,82.20863531699749,trail_stop
BALRAMCHIN,2014-03-07,2014-07-14,43.618654782328754,64.2479204457146,229,4724.101836915359,47.294593944569314,trail_stop
ASTRAL,2013-05-17,2014-07-15,38.00869499095736,139.42113965644097,263,26671.472947022194,266.813803235314,trail_stop
THERMAX,2014-03-06,2014-07-22,700.5479167324688,815.4379546873986,14,1608.4605313690154,16.40002563861807,trail_stop
BSOFT,2014-07-17,2014-07-23,95.95919839376359,80.1490275798284,104,-1644.2577646492591,-16.4759304773045,trail_stop
TVSMOTOR,2013-09-27,2014-07-25,32.77018699234207,135.1790029703636,305,31234.688873296564,312.50604704194404,trail_stop
IOC,2014-01-20,2014-07-28,18.483939672624526,26.467514735177893,541,4319.1141088413715,43.19195584898694,trail_stop
TMPV,2014-02-28,2014-08-01,393.35524518844,426.15732562739066,25,820.0520109737663,8.339047423464901,trail_stop
ZFCVINDIA,2014-05-02,2014-08-01,2165.9767674143736,3293.4883220082834,4,4510.046218375639,52.05557010382306,trail_stop
APOLLOHOSP,2014-07-18,2014-08-01,1061.655073770299,957.2494990799332,9,-939.6501722132907,-9.834227450125196,trail_stop
ENGINERSIN,2014-03-19,2014-08-04,65.03533129152316,95.73561275224344,153,4697.143063490203,47.205543280936304,trail_stop
