symbol,entry_date,exit_date,entry_price,exit_price,shares,position_size,pnl,return_pct
TRENT,2023-11-02,2024-07-19,2204.4575225321546,5099.516121565177,102,224854.66729827976,295295.9771013683,131.32748394750686
VBL,2023-12-21,2024-07-19,494.67471307272916,620.3339346161569,524,259209.54965011007,65845.43208875612,25.402394386177722
HAVELLS,2024-02-29,2024-07-19,1505.2701114884885,1742.715576509108,202,304064.56252067466,47963.98393416515,15.774276205206872
JSL,2024-03-07,2024-07-19,698.1601195218635,738.7790709162605,438,305794.1323505762,17791.100710745843,5.817999375589497
APARINDS,2024-03-27,2024-07-19,6768.035869570953,7666.857030243572,42,284257.50652198005,37750.48874824995,13.280384117254934
JSWSTEEL,2024-04-02,2024-07-19,862.0080379375788,873.1487555676421,339,292220.7248608392,3776.703276591492,1.2924145877709483
AAVAS,2024-04-09,2024-07-19,1626.050048828125,1745.5999755859375,185,300819.2590332031,22116.736450195312,7.352167717344907
BHARATFORG,2024-05-09,2024-07-19,1394.190891528463,1557.3075237847875,221,308116.18702779035,36048.775728647655,11.699734465880644
HONAUT,2024-05-14,2024-07-19,47110.31307905508,53203.142776434135,6,282661.8784743305,36556.97818427434,12.933112304209853
JYOTICNC,2024-05-31,2024-07-19,1002.5,1129.0,322,322805.0,40733.0,12.61845386533666
CHOICEIN,2024-04-23,2024-07-22,331.95001220703125,372.1499938964844,923,306389.86126708984,37104.583099365234,12.11025160751647
HINDZINC,2024-05-13,2024-07-22,482.4270758962872,586.8401228018103,633,305376.3390423498,66093.45869119611,21.64328084437158
AXISBANK,2024-05-28,2024-07-25,1186.0701643307336,1164.0051748855426,278,329727.505683944,-6134.067065763113,-1.8603443631550844
BSOFT,2024-07-15,2024-07-31,732.217272678662,662.1322338525466,486,355857.59452182974,-34061.32886949211,-9.571617802694568
AEGISLOG,2024-04-16,2024-08-01,477.5766346914212,760.5272342179203,627,299440.5499515211,177410.02590311493,59.24716139208177
HEROMOTOCO,2024-06-06,2024-08-02,5291.7572979251345,4882.81613523974,60,317505.4378755081,-24536.469761123706,-7.727889615151821
CARBORUNIV,2024-03-26,2024-08-05,1234.7088901368197,1595.7280374272063,231,285217.75362160534,83395.4230240793,29.23921178298
COCHINSHIP,2024-04-02,2024-08-05,956.7326949654101,2370.1145520478576,306,292760.2046594155,432494.8482672289,147.73006760614018
ENDURANCE,2024-05-13,2024-08-05,2109.569246494442,2439.529045230498,144,303777.9714951996,47514.211017992115,15.641098261380334
BEML,2024-05-23,2024-08-05,2254.6056066803967,2072.633106934685,145,326917.8129686575,-26386.012463128194,-8.071145534568313
GRASIM,2024-07-11,2024-08-05,2803.985110176122,2617.4781490181085,126,353302.1238821914,-23499.87710590969,-6.651496132456233
SPLPETRO,2023-10-05,2024-08-06,495.5081028411679,783.3041125068769,457,226447.20299841373,131522.776417229,58.08098959745169
POWERINDIA,2024-03-22,2024-08-06,7235.355729257357,11173.777255648598,39,282178.8734410369,153598.4395292584,54.43300473072227
MARICO,2024-06-06,2024-08-06,637.0330643349287,620.9792085976771,500,318516.5321674643,-8026.927868625731,-2.520097721146062
BATAINDIA,2024-07-24,2024-08-07,1530.453055981495,1444.3959239550938,226,345882.3906518179,-19448.911837966705,-5.622984101999263
TARIL,2023-11-06,2024-08-12,89.1569620986623,336.8852729180464,2548,227171.93942739157,631211.7359677907,277.8563838292792
BALKRISIND,2024-05-17,2024-08-12,2569.0194953810033,2836.2498615690724,124,318558.4174272444,33136.565407320566,10.40203730133379
ATGL,2024-06-03,2024-08-12,1188.8281839124331,867.1247181420994,274,325738.9223920067,-88146.74962107145,-27.060551736888318
GODREJCP,2024-06-06,2024-08-12,1380.0726939733056,1351.0593427878557,231,318796.7923078336,-6702.084123838926,-2.102306009831906
DABUR,2024-05-08,2024-08-13,544.8380850352261,597.5824027166291,564,307288.6799598675,29747.795172311307,9.680732520376743
AARTIIND,2024-08-01,2024-08-13,753.9400337784679,622.2910224908406,477,359629.39611232915,-62796.57838419819,-17.461469797253134
LINDEINDIA,2024-03-13,2024-08-14,6299.131357320192,7149.702356890495,47,296059.173794049,39976.83697980427,13.502988766567933
3MINDIA,2024-05-29,2024-08-14,33329.4673337165,35588.618595464264,9,299965.2060034485,20332.361355729867,6.778239925431924
SUNTV,2024-06-05,2024-08-23,676.3358358631076,749.8195090529929,459,310438.1486611664,33729.00599415734,10.864968155370462
ADANIENSOL,2024-08-02,2024-08-28,1250.0,1025.5,286,357500.0,-64207.0,-17.96
GVT&D,2024-02-12,2024-09-04,822.0123580029449,1625.022611353802,374,307432.6218931014,300325.83475322055,97.68834319008867
