entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl,regime
2024-02-02,2024-02-06,2,ShortTCS-LongINFY,1.76,3.9,stop-loss,3669.88,3826.9,1594.26,1628.25,-23552.6,13595.07,844.23,-10801.77,active
2024-02-09,2024-02-16,5,ShortTCS-LongINFY,2.821,0.379,reversion,3824.77,3819.77,1571.67,1602.08,749.49,12164.01,846.31,12067.19,active
2024-02-27,2024-03-05,5,ShortTCS-LongINFY,1.559,-0.388,reversion,3797.66,3712.26,1566.25,1512.5,12810.24,-21503.52,824.86,-9518.13,active
2024-03-07,2024-03-11,1,ShortTCS-LongINFY,1.887,2.056,regime-break,3801.54,3814.27,1521.86,1506.94,-1908.44,-5969.04,823.47,-8700.95,active
2024-08-19,2024-08-21,2,ShortTCS-LongINFY,3.114,3.307,stop-loss,4490.0,4550.0,1865.4,1872.0,-9000.0,2640.0,997.52,-7357.52,active
2024-08-28,2024-09-06,7,LongTCS-ShortINFY,-2.055,-0.416,reversion,4513.0,4460.5,1938.0,1904.0,-7875.0,13600.0,1009.27,4715.73,active
2024-09-18,2024-09-19,1,LongTCS-ShortINFY,-6.289,-4.582,stop-loss,4347.9,4307.0,1892.5,1896.0,-6135.0,-1400.0,984.4,-8519.4,active
2024-09-24,2024-09-30,4,LongTCS-ShortINFY,-2.079,0.117,reversion,4282.0,4270.0,1900.0,1877.6,-1800.0,8960.0,978.2,6181.8,active
2024-10-04,2024-10-17,9,LongTCS-ShortINFY,-2.722,-1.218,regime-break,4251.9,4111.25,1921.0,1975.0,-21097.5,-21600.0,982.37,-43679.87,active
2025-03-21,2025-04-01,6,ShortTCS-LongINFY,1.633,-0.209,reversion,3578.0,3555.95,1595.4,1530.2,3307.5,-26080.0,810.98,-23583.48,active
2025-04-03,2025-04-04,1,LongTCS-ShortINFY,-3.386,-3.817,stop-loss,3403.3,3300.0,1495.8,1456.0,-15495.0,15920.0,765.2,-340.2,active
2025-12-18,2025-12-24,4,ShortTCS-LongINFY,1.865,-0.366,reversion,3281.2,3313.1,1627.1,1667.0,-4785.0,15960.0,807.93,10367.07,active
2025-12-26,2026-01-16,14,LongTCS-ShortINFY,-1.813,-4.806,stop-loss,3276.9,3209.0,1657.0,1689.1,-10185.0,-12840.0,807.81,-23832.81,active
2026-01-21,2026-01-27,3,LongTCS-ShortINFY,-2.398,-0.441,reversion,3122.0,3167.0,1655.1,1687.4,6750.0,-12920.0,797.81,-6967.81,active
2026-01-30,2026-02-01,1,LongTCS-ShortINFY,-1.803,-0.363,reversion,3127.0,3178.1,1641.2,1642.0,7665.0,-320.0,791.03,6553.97,active
2026-02-04,2026-02-10,4,LongTCS-ShortINFY,-6.71,-0.167,reversion,2999.9,2984.8,1534.0,1494.8,-2265.0,15680.0,738.9,12676.1,active
2026-02-12,2026-02-20,6,LongTCS-ShortINFY,-1.81,-0.149,reversion,2741.9,2685.5,1384.0,1353.0,-8460.0,12400.0,668.32,3271.68,active
