A,B,lotA,lotB_lots,lotB_unit,beta,r2,stat,pval,level,hl,imb,margin,viable,rev,rows,sector
BIOCON,IPCALAB,2700,1,700,0.2145,0.468,-2.044,0.2677,FAIL,214.5,20.9,212147,False,False,2318,Pharma
GLENMARK,BIOCON,1800,1,2700,-1.1792,0.383,-1.917,0.3242,FAIL,175.9,27.2,403278,False,True,2318,Pharma
ALKEM,TORNTPHARM,300,1,500,1.7773,0.923,-3.696,0.0042,1%,40.7,6.2,349523,True,False,2078,Pharma
ALKEM,IPCALAB,300,1,700,2.4641,0.765,-1.379,0.5922,FAIL,166.4,5.3,296646,False,False,2078,Pharma
GLENMARK,ALKEM,1800,1,300,0.0128,0.004,0.33,0.9787,FAIL,999.0,1198.4,1176123,False,True,2078,Pharma
TORNTPHARM,IPCALAB,500,1,700,1.3481,0.766,-1.081,0.7226,FAIL,248.3,3.8,266463,False,False,2318,Pharma
GLENMARK,TORNTPHARM,1800,1,500,-0.019,0.002,1.753,0.9983,FAIL,999.0,1360.4,636489,False,True,2318,Pharma
GLENMARK,IPCALAB,1800,1,700,-0.1731,0.084,0.465,0.9838,FAIL,999.0,124.7,360954,False,True,2318,Pharma
ITC,HINDUNILVR,3200,1,300,0.0669,0.336,-1.471,0.5477,FAIL,438.4,40.1,1163546,False,True,2318,FMCG
HINDUNILVR,BRITANNIA,300,1,200,0.5384,0.897,-1.824,0.3685,FAIL,138.0,23.8,248909,False,False,2318,FMCG
HINDUNILVR,NESTLEIND,300,6,100,1.9892,0.903,-2.058,0.2616,FAIL,126.4,0.5,212617,False,False,2318,FMCG
HINDUNILVR,DABUR,300,1,1250,5.3561,0.961,-4.954,0.0,1%,25.3,22.2,206966,True,False,2318,FMCG
HINDUNILVR,MARICO,300,1,1200,4.9744,0.839,-1.975,0.2978,FAIL,129.9,19.6,201919,False,False,2318,FMCG
COLPAL,HINDUNILVR,700,1,300,0.5399,0.678,-0.868,0.7983,FAIL,647.7,20.6,345125,False,True,2318,FMCG
HINDUNILVR,GODREJCP,300,2,500,2.6111,0.73,-1.294,0.6319,FAIL,199.8,27.7,265693,False,False,2318,FMCG
HINDUNILVR,TATACONSUM,300,1,750,1.9086,0.782,-1.626,0.4698,FAIL,231.4,31.0,214797,False,False,2318,FMCG
HINDUNILVR,EMAMILTD,300,1,600,-1.3307,0.032,-1.161,0.6901,FAIL,540.4,50.3,148562,False,False,2318,FMCG
ITC,BRITANNIA,3200,1,200,0.0489,0.556,-1.467,0.5495,FAIL,356.8,27.7,324291,False,False,2318,FMCG
ITC,NESTLEIND,3200,5,100,0.1658,0.471,-0.831,0.8097,FAIL,553.8,5.8,270475,False,False,2318,FMCG
ITC,DABUR,3200,1,1250,0.3281,0.27,-0.323,0.9222,FAIL,1553.4,19.1,282348,False,False,2318,FMCG
ITC,MARICO,3200,1,1200,0.4458,0.505,-1.359,0.6019,FAIL,341.1,15.9,277301,False,False,2318,FMCG
COLPAL,ITC,700,1,3200,4.2881,0.57,-1.643,0.4607,FAIL,283.8,6.6,1046392,False,True,2318,FMCG
ITC,GODREJCP,3200,2,500,0.2696,0.584,-2.071,0.2563,FAIL,183.3,15.9,341075,False,False,2318,FMCG
ITC,TATACONSUM,3200,1,750,0.1781,0.511,-1.197,0.6749,FAIL,478.1,31.6,290179,False,False,2318,FMCG
