,top_5,top_10,top_20,top_50
2014-05-30,2278390.3179436345,3086960.8379949625,14528048.7343741,8425050.293791302
2014-06-30,3135415.014052825,4024513.1640228545,18155665.504417025,10035119.92330513
2014-07-31,2895339.6534749633,3947291.15742992,17749555.558773726,10146188.280042065
2014-08-28,3532004.3676021723,4426387.434023439,18937165.8392851,10830922.781340165
2014-09-30,4487974.33124477,5351816.093580966,21317858.04826482,11851449.13249799
2014-10-31,4887836.103205254,5715227.851611939,22386188.27835978,12379070.926726902
2014-11-28,4541345.3180161975,5902159.499160676,23778888.18533261,13099566.626837417
2014-12-31,4495581.955347929,5948745.527637196,24111868.65369347,13075217.284961328
2015-01-30,4909311.257592574,6422366.381758347,26014951.250933852,14110273.955378419
2015-02-27,4796552.974112182,6270754.854297092,25389320.785034332,14843386.385770466
2015-03-31,5392281.030561127,6735144.814937809,26416562.761993535,15332799.014458764
2015-04-30,4879388.0283844415,6449232.88744907,26259088.113410797,14966133.312029257
2015-05-29,4998420.359551277,6700249.155997203,27036227.341256935,15651573.693911549
2015-06-30,5028806.844484187,6655123.186833562,27299046.64048853,15808461.981516356
2015-07-31,5688265.57600678,8046586.629223105,30512554.23134229,17512892.81319342
2015-08-31,5114853.839498689,7409357.381715149,28161006.959661514,16770645.718214815
2015-09-30,5276474.306323769,7495554.514349236,28654177.338675275,17083749.962570876
2015-10-30,5271197.832017445,7488058.959834888,28625523.161336593,17066666.212608304
2015-11-30,5839225.010857715,8302830.610408709,30182157.40718179,17475461.833795387
2015-12-31,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-01-29,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-02-29,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-03-31,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-04-29,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-05-31,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-06-30,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-07-29,5833385.785846857,8294527.779798301,30151975.24977461,17457986.37196159
2016-08-31,5838979.161672596,8368366.269434689,30596954.126832128,18352947.745248232
2016-09-30,5908892.006291988,8679802.850989493,31047019.379009653,18553361.434616886
2016-10-28,6586206.685575221,9424086.320663966,33992556.71263746,19702729.426756594
2016-11-30,5506543.055798985,8339773.687755919,31061464.082651544,18289439.407860078
2016-12-30,4968777.516681294,7719400.824277057,29162748.486678816,17530233.245508827
2017-01-31,5747845.63822806,9033174.003716566,33521321.531981375,19724774.48931171
2017-02-28,6422970.830119034,9683481.73328903,35510997.53814802,20958809.441135004
2017-03-31,6871160.528621007,10737822.258343441,38419944.78583139,22032305.370917756
2017-04-28,7470687.221738435,12376917.703989021,43422716.6640327,24085663.638610177
2017-05-31,7119984.422617811,12635090.225157695,43945067.473531075,24034964.109827403
2017-06-30,7345047.884121513,13208831.198927717,45699431.34212384,24216141.969916195
2017-07-31,7608438.676343249,14200111.989489604,49521801.61089246,26378269.38553591
2017-08-31,8527820.928586796,17675284.46440646,56963839.100438826,28486622.93501301
2017-09-29,10399528.804000784,20699182.711777233,62772896.07844891,30521106.616041325
2017-10-31,13213559.691830873,25438527.206584148,71309005.53568403,34420618.07610879
2017-11-30,13614686.76963018,26004143.18195471,74340087.14488155,35250097.95865269
2017-12-29,14848492.649341557,27159761.65566584,83090586.12945448,38254233.63168822
2018-01-31,18212073.089846313,30087186.89857992,87599377.89736286,39289015.78800574
2018-02-28,17793946.768907614,29211803.015661616,84266406.07961148,38335883.502496995
2018-03-28,17049550.31606674,27701784.642477233,78128426.22644712,35454159.34482926
2018-04-30,18320178.49812427,29655425.880274497,86187040.47596216,38485473.355400234
2018-05-31,19188487.41938297,29636603.288402062,87092621.65416236,37395379.36035385
2018-06-29,17842497.065854046,27519189.453310914,81837898.4092502,36134683.51866861
2018-07-31,19735545.256548963,28793877.71065406,84177981.71361214,37860193.48756927
2018-08-31,21043427.0466819,31630790.860439964,91687904.71202044,40925896.04833187
2018-09-28,16478839.800260289,26785517.5914099,77153484.9031626,35576737.20764494
