,LiqFund,ME_cap3pct,Daily_cap3pct,Daily_cap5pct,NoCap
2012-05-31,3418852.2807274326,4443564.8218292,3514510.236308713,3302149.2220522338,3122484.8766924334
2012-06-29,3431269.9474683064,4413577.339880396,3473083.6320419135,3242365.611134254,3044083.914567982
2012-07-31,3520506.2563433056,4528360.308511544,3563407.3805322545,3326689.125049075,3123250.7585063986
2012-08-31,3668903.8409623657,4719241.302078058,3713613.348021141,3466916.8636154453,3254903.0934189926
2012-09-28,3950329.8432344077,5081234.221754187,3998468.826338487,3732849.3043198334,3504572.859940742
2012-10-31,4060671.0670031784,5223164.04142339,4110154.675623986,3837115.828060501,3602463.1307531837
2012-11-30,4257030.531631451,5475737.489978154,4308906.989792722,4022664.9644673285,3776665.305720251
2012-12-31,4322170.729016006,5559526.088221184,4374840.989969885,4084218.9486002293,3834455.0541474777
2013-01-31,4334016.4420071915,5574763.003775199,4386831.0556101315,4095412.5104679926,3844964.091595745
2013-02-28,4106528.66091802,5282149.7931895275,4156571.0932386834,3880448.7886830056,3643146.133295712
2013-03-28,4120786.6537448945,5418994.735743461,4126893.437708299,3980988.4424926913,3737537.4449625155
2013-04-30,4142536.1220478066,5390244.760886323,4091915.856598202,3917565.684250312,3686179.607629445
2013-05-31,4272812.724737587,5559759.945407521,4220600.527192344,4040767.3011153676,3802104.4763663565
2013-06-28,4142828.24589105,5390624.870792231,4092204.410795692,3917841.9436021,3686439.5500710164
2013-07-31,4160529.3554343157,5537089.597445675,4065694.4824732943,4024301.070641127,3786610.8030291875
2013-08-30,4180487.5115583153,5505848.874412694,4033026.8540946203,3983988.1386059006,3748678.9034851883
2013-09-30,4201211.524822864,5475402.211861012,3999119.452071556,3934080.0222912403,3668741.1422583577
2013-10-31,4222038.273647464,5445123.915583393,3977049.253070447,3883566.316778243,3503702.146548622
2013-11-29,4346291.478911058,5605372.131188554,4094092.5116002373,3997858.4030734613,3606814.9545766525
2013-12-31,4639383.879247632,5983370.703231265,4370177.860971592,4267454.200145064,3850040.7156044366
2014-01-31,4582204.448052313,5909626.916912596,4316316.337369183,4214858.724071648,3802589.772995054
2014-02-28,4598114.001727993,5870272.552895591,4287582.038223522,4186799.8419212243,3777275.420773113
2014-03-31,4676574.757792452,5970441.018190608,4360743.975548475,4258242.063876627,3841729.64815116
2014-04-30,5013943.0624145735,6401148.890613062,4675328.233924872,4565431.8299264265,4118872.190575758
2014-05-30,5613901.096049397,7167097.098163411,5234768.319084543,5111721.939183759,4611727.899045042
2014-06-30,6808337.921934586,8691998.332131628,6348539.286601538,6199313.049782936,5592938.2088344125
2014-07-31,6803980.528613394,8686435.380363591,6344476.168259896,6195345.437483312,5589358.68151417
2014-08-28,7409078.634586527,9458945.76222195,6908709.192834416,6746315.825229906,6086436.875310524
2014-09-30,8423529.231099097,10754064.04131167,7854649.235781993,7670020.978151205,6919791.442499491
2014-10-31,8855308.407139296,11305303.407075131,8257268.361574259,8063176.299074218,7274490.971098697
2014-11-28,9063579.50355562,11571196.7930144,8451473.94493739,8252816.9633172,7445582.269195085
