,A,B,C,D
2022-04-29,87302028.42699517,47315335.87681044,51267934.00111231,25850146.54102517
2022-05-31,80369790.84141287,47268020.54093363,47568611.625342906,25824296.394484147
2022-06-30,76567379.95201783,47268020.54093363,45823197.74398977,25824296.394484147
2022-07-29,76490812.5720658,47268020.54093363,45777374.54624579,25824296.394484147
2022-08-30,84049572.66031861,51939008.0112119,50496780.736248836,28486645.32700057
2022-09-30,83025572.90491946,51306220.36202182,50530419.95385795,28505622.14982248
2022-10-31,82942547.3320146,53894842.49397879,50479889.533904105,29898434.77577539
2022-11-30,82942547.3320146,55633873.16513649,50479889.533904105,30843338.98959405
2022-12-30,82911518.97336188,55557447.77305239,50409118.15380293,30769297.401525687
2023-01-31,81158990.40347505,54383111.37567494,49694510.894395776,30333107.202306155
2023-02-28,74755707.16104943,50092391.83848467,46503318.41949506,28385230.430763703
2023-03-31,76802327.93534164,50042299.4466462,47681084.13659705,28356845.200332943
2023-04-28,84925260.05866745,50042299.4466462,52274959.35408652,28356845.200332943
2023-05-31,92101680.90139644,54325338.3682158,56692338.91350527,30783861.405202594
2023-06-30,101523058.27736744,59882452.08031217,62491580.729758374,33932841.66864103
2023-07-31,115798830.07452561,68302886.16748519,71278900.19076593,38704343.949109785
2023-08-31,132231000.0121031,77995252.07488504,81393570.60794102,44196595.95791596
2023-09-29,142301390.5270292,83935180.28107199,87592306.4667877,47562500.93243692
2023-10-31,139876335.71823445,82504783.76973926,86099586.38004787,46751955.99554397
2023-11-30,157836249.71359843,93098275.60738288,97154645.53985465,52754837.78740345
2023-12-29,170321574.4865353,100462630.81011814,104839871.87389201,56927905.028385855
2024-01-31,196866947.6441676,116120177.608236,121179631.11508465,65800371.635252625
2024-02-29,196750323.4095144,116051387.86468881,121107844.14472984,65761391.40990909
2024-03-28,190316185.03550118,112256269.89447062,116684131.18567207,63359321.40824982
2024-04-30,215276162.27954304,126978685.33982204,131567215.87881874,71440815.75574401
2024-05-31,225947187.05836403,133272892.20088562,138090046.98430458,74982703.99971251
2024-06-28,246072476.92485747,145143611.2915195,150510860.67181224,81727188.60599132
2024-07-31,266016096.92982876,156907174.06750304,162884186.15026364,88445887.18061249
2024-08-30,268230059.82423526,158213059.9340387,164539108.30382687,89344507.61483762
2024-09-30,269904149.8795617,159200506.71920475,165566037.51938248,89902128.7546683
2024-10-31,258265730.71482635,152335691.08275315,158426736.60476243,86025498.2593026
2024-11-29,260583385.1311252,153702738.44989964,159416800.6181638,86563101.64549068
2024-12-31,266227916.6396912,157032113.99583775,164264818.09059644,89195568.4094579
2025-01-31,233820561.4990016,156875081.88184193,143383591.87016243,89106372.84104842
2025-02-28,206576919.25015664,156875081.88184193,125558932.72743088,89106372.84104842
2025-03-28,206370342.33090654,156875081.88184193,125433373.79470348,89106372.84104842
2025-04-30,206302080.5962616,156875081.88184193,125364437.99103826,89106372.84104842
2025-05-30,225158928.52519736,171385486.8993997,136280407.03468183,96962173.35094403
2025-06-30,239473197.54880854,182281159.49070916,144728909.10266107,102973199.73320849
2025-07-31,234663797.0948088,178620361.12085596,141034080.01167744,100344365.06344642
2025-08-29,234429133.29771405,174617558.68081576,140893045.93166578,97619365.82343403
2025-09-30,234429133.29771405,172274170.64798397,140893045.93166578,96264871.83535562
2025-10-31,234429133.29771405,180294534.94979998,140893045.93166578,100384400.58894293
2025-11-28,234688971.58208355,180313876.75936744,140602339.14064577,100077098.63366596
2025-12-31,234873156.93219393,180455388.20021957,141026056.71962893,100378689.81773798
2026-01-30,228145579.0943408,175286523.07219025,137988857.97653615,98216890.51880525
2026-02-27,234695735.3928942,180319073.4626498,141579666.9403531,100772735.21557875
2026-03-30,207616664.2270947,180138754.38918707,124863481.50887671,100671962.4803631
2026-04-30,207409047.56286767,180138754.38918707,124738618.02736783,100671962.4803631
2026-05-29,207409047.56286767,180138754.38918707,124738618.02736783,100671962.4803631
2026-06-18,207409047.56286767,180138754.38918707,124738618.02736783,100671962.4803631
