,A,B,C
2013-02-28,5033560.413423252,2903355.8573426264,2917019.83059141
2013-03-28,4940848.771485034,2900452.5014852835,2863292.1158431657
2013-04-30,5151088.916825193,2900452.5014852835,2985129.269423005
2013-05-31,5375104.955796886,3029620.087952727,3114949.7492385134
2013-06-28,5215722.570822578,2939785.9211494867,3022585.390925225
2013-07-31,5100572.436640293,2936846.135228337,2955854.2508738954
2013-08-30,4889541.132728068,2936846.135228337,2952898.396623022
2013-09-30,5277043.761231743,2936846.135228337,2952898.396623022
2013-10-31,5824677.997180841,2936846.135228337,2952898.396623022
2013-11-29,6046605.756179397,3051795.563868274,3068476.1177204917
2013-12-31,6525521.498975446,3293510.1717436104,3311511.8932327656
2014-01-31,6464283.659238137,3262602.6882417793,3280435.475104679
2014-02-28,6869776.72000991,3259340.0855535376,3486211.3803070295
2014-03-31,6962008.986622941,3306405.7481167554,3533016.5663564242
2014-04-30,7506944.703839304,3565207.2795741716,3809555.553913608
2014-05-30,8425050.293791302,4001235.099392874,4275467.371206198
2014-06-30,10035119.92330513,4765891.319762824,5092530.762676906
2014-07-31,10146188.280042065,4818640.03839483,5148894.715252026
2014-08-28,10830922.781340165,5143834.9778693495,5496377.50955613
2014-09-30,11851449.13249799,5628504.589766766,6014264.876833545
2014-10-31,12379070.926726902,5879083.371928951,6282017.553304261
2014-11-28,13099566.626837417,6221262.063297511,6647648.113300676
2014-12-31,13075217.284961328,6209698.044334498,6635291.532263013
2015-01-30,14110273.955378419,6701268.41306993,7160552.612897599
2015-02-27,14843386.385770466,7049439.057279326,7532585.795640349
2015-03-31,15332799.014458764,7281871.496221187,7780948.4346806295
2015-04-30,14966133.312029257,7274589.624724966,7594876.28173063
2015-05-29,15651573.693911549,7274589.624724966,7587281.405448897
2015-06-30,15808461.981516356,7274589.624724966,7671005.82357182
2015-07-31,17512892.81319342,7274589.624724966,8498075.455706647
2015-08-31,16770645.718214815,6973244.702136897,8137902.417066492
2015-09-30,17083749.962570876,6966271.457434761,8129764.514649424
2015-10-30,17066666.212608304,6966271.457434761,8129764.514649424
2015-11-30,17475461.833795387,6966271.457434761,8129764.514649424
2015-12-31,17457986.37196159,6966271.457434761,8129764.514649424
2016-01-29,17457986.37196159,6966271.457434761,8129764.514649424
2016-02-29,17457986.37196159,6966271.457434761,8129764.514649424
2016-03-31,17457986.37196159,6966271.457434761,8129764.514649424
2016-04-29,17457986.37196159,7373284.454425527,8129764.514649424
2016-05-31,17457986.37196159,7406326.566395815,8129764.514649424
2016-06-30,17457986.37196159,7758027.23644451,8524343.077927869
2016-07-29,17457986.37196159,8233911.953800081,9047234.332707837
2016-08-31,18352947.745248232,8647356.920480747,9501518.216021916
2016-09-30,18553361.434616886,8741785.822462985,9605274.536080614
2016-10-28,19702729.426756594,9283333.447344206,10200314.693433832
2016-11-30,18289439.407860078,8617433.70223566,9468639.267477045
